,job_url
64,https://www.oilandgasjobsearch.com/job/J3N3DD5ZR06XPWZM2SB?ipath=CRJR65
65,https://www.oilandgasjobsearch.com/job/J3N395748BMXYJY2Q0L?ipath=CRJR66
66,https://www.oilandgasjobsearch.com/job/J3M6CS6HGKGBKQB7KK2?ipath=CRJR67
67,https://www.oilandgasjobsearch.com/job/J3M65D6P9T4VKQJJS20?ipath=CRJR68
68,https://www.oilandgasjobsearch.com/job/J3M45F6PPC1RF4X5K3R?ipath=CRJR69
69,https://www.oilandgasjobsearch.com/job/J3W7GB6MMC42PRLC24T?ipath=CRJR70
70,https://www.oilandgasjobsearch.com/job/J3W4P5731Z1Q797TG85?ipath=CRJR71
71,https://www.oilandgasjobsearch.com/job/J3W5HX74FN1G5L157QM?ipath=CRJR72
72,https://www.oilandgasjobsearch.com/job/J3V87X6ST7YX6V52ZGY?ipath=CRJR73
73,https://www.oilandgasjobsearch.com/job/J3T34Q5ZG755339MFRZ?ipath=CRJR74
74,https://www.oilandgasjobsearch.com/job/J3T17M6FPKJ2RS5GF1X?ipath=CRJR75
75,https://www.oilandgasjobsearch.com/job/J3R8HC78GPKPYDWNFFR?ipath=CRJR76
76,https://www.oilandgasjobsearch.com/job/J3Q86Q695CT1GZ1LFJK?ipath=CRJR77
77,https://www.oilandgasjobsearch.com/job/J3Q6087629HH190ZVQR?ipath=CRJR78
78,https://www.oilandgasjobsearch.com/job/J3Q4KZ6J3JDCJS8M8GT?ipath=CRJR79
79,https://www.oilandgasjobsearch.com/job/J3P8GK71853NBZGCVXZ?ipath=CRJR80
80,https://www.oilandgasjobsearch.com/job/J3P36L7758WTDV191RH?ipath=CRJR81
81,https://www.oilandgasjobsearch.com/job/J3P51D670F9Y5YRN5T8?ipath=CRJR82
82,https://www.oilandgasjobsearch.com/job/J3P06Y64801HCT57Y9T?ipath=CRJR83
83,https://www.oilandgasjobsearch.com/job/J3N5M566K8S3ZNBPQ52?ipath=CRJR84
84,https://www.oilandgasjobsearch.com/job/J3M6RM6KQ17B0D7LQWY?ipath=CRJR85
85,https://www.oilandgasjobsearch.com/job/J3V5HX6FFC274RPRK59?ipath=CRJR86
86,https://www.oilandgasjobsearch.com/job/J3M4056QBGN5T95ZNNQ?ipath=CRJR87
87,https://www.oilandgasjobsearch.com/job/J3V34X6C1VHCGT2HT9K?ipath=CRJR88
